query_number,query_text,videos_found,date_filter,status,error
1,NYC Pilates Studio Tour | Professional Instructor POV,0,,failed,No results found for query: NYC Pilates Studio Tour | Professional Instructor POV
2,Best Pilates Studios Manhattan Reviews by Certified Teachers,1,,success,
3,How to Start Pilates in NYC | Beginner's Guide,2,,success,
4,SolidCore vs Club Pilates NYC Honest Comparison Review,0,,failed,No results found for query: SolidCore vs Club Pilates NYC Honest Comparison Review
5,Day in Life: Professional Pilates Instructor Manhattan,2,,success,
6,Melissa Wood Health NYC Pilates Morning Routine,2,,success,
7,NYC Reformer Pilates Tips from Master Instructors,0,,failed,No results found for query: NYC Reformer Pilates Tips from Master Instructors
8,Behind the Scenes: Luxury NYC Pilates Studios,0,,failed,No results found for query: Behind the Scenes: Luxury NYC Pilates Studios
9,Classical vs Contemporary Pilates NYC Studio Differences,2,,success,
10,Celebrity Pilates Trainer NYC Daily Schedule Revealed,0,,failed,No results found for query: Celebrity Pilates Trainer NYC Daily Schedule Revealed
11,Top 5 NYC Pilates Studios Worth Your Money,0,,failed,"Failed to search videos: <HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/search?q=Top+5+NYC+Pilates+Studios+Worth+Your+Money&part=id%2Csnippet&maxResults=2&type=video&order=viewCount&key=AIzaSyAscaIUYe-w3uKRDI3LVEh7LQV8mGT5xcA&alt=json returned ""The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."". Details: ""[{'message': 'The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>.', 'domain': 'youtube.quota', 'reason': 'quotaExceeded'}]"">"
12,Pilates Before Work NYC | Morning Routine Guide,0,,failed,"Failed to search videos: <HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/search?q=Pilates+Before+Work+NYC+%7C+Morning+Routine+Guide&part=id%2Csnippet&maxResults=2&type=video&order=viewCount&key=AIzaSyAscaIUYe-w3uKRDI3LVEh7LQV8mGT5xcA&alt=json returned ""The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."". Details: ""[{'message': 'The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>.', 'domain': 'youtube.quota', 'reason': 'quotaExceeded'}]"">"
13,Cassey Ho NYC Blogilates Studio Tour Review,0,,failed,"Failed to search videos: <HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/search?q=Cassey+Ho+NYC+Blogilates+Studio+Tour+Review&part=id%2Csnippet&maxResults=2&type=video&order=viewCount&key=AIzaSyAscaIUYe-w3uKRDI3LVEh7LQV8mGT5xcA&alt=json returned ""The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."". Details: ""[{'message': 'The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>.', 'domain': 'youtube.quota', 'reason': 'quotaExceeded'}]"">"
14,NYC Pilates Teacher Training Experience | Professional Insight,0,,failed,"Failed to search videos: <HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/search?q=NYC+Pilates+Teacher+Training+Experience+%7C+Professional+Insight&part=id%2Csnippet&maxResults=2&type=video&order=viewCount&key=AIzaSyAscaIUYe-w3uKRDI3LVEh7LQV8mGT5xcA&alt=json returned ""The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."". Details: ""[{'message': 'The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>.', 'domain': 'youtube.quota', 'reason': 'quotaExceeded'}]"">"
15,Premium Manhattan Pilates Studios Compared by Experts,0,,failed,"Failed to search videos: <HttpError 403 when requesting https://youtube.googleapis.com/youtube/v3/search?q=Premium+Manhattan+Pilates+Studios+Compared+by+Experts&part=id%2Csnippet&maxResults=2&type=video&order=viewCount&key=AIzaSyAscaIUYe-w3uKRDI3LVEh7LQV8mGT5xcA&alt=json returned ""The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."". Details: ""[{'message': 'The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>.', 'domain': 'youtube.quota', 'reason': 'quotaExceeded'}]"">"
